collection;deck;question;correct_answer;wrong_answer_1;wrong_answer_2;wrong_answer_3;hint;explanation;level;difficulty;tags;source;cloze_text;accepted_answers;cloze_answers;cloze_word_bank
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel est le premier objectif de la protection juridique du logiciel ?;Encourager l'innovation;Remplacer le droit des brevets;Supprimer les licences logicielles;Rendre tous les logiciels gratuits;-;La protection juridique encourage l'innovation en garantissant un monopole d'exploitation au créateur. Cela favorise l'investissement en recherche et développement et stimule la créativité.;1;facile;protection|innovation;2.1 - Pourquoi protéger le logiciel ?;La protection juridique du logiciel vise notamment à {{encourager l'innovation}}.;encourager l'innovation|innovation;encourager l'innovation;encourager l'innovation|Remplacer le droit des brevets|Supprimer les licences logicielles|Rendre tous les logiciels gratuits
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Comment la protection juridique favorise-t-elle l'investissement en R&D ?;En garantissant un monopole d'exploitation au créateur;En obligeant le créateur à publier son code source;En supprimant toutes les licences;En rendant le logiciel libre dès sa création;Revois les raisons économiques de la protection.;Le monopole d'exploitation sécurise l'exploitation commerciale du logiciel. Cette exclusivité rend l'investissement en R&D plus attractif.;2;moyen;monopole|r&d;2.1 - Pourquoi protéger le logiciel ?;La protection favorise la R&D par {{un monopole d'exploitation}}.;monopole d'exploitation|un monopole d'exploitation;un monopole d'exploitation;un monopole d'exploitation|En obligeant le créateur à publier son code source|En supprimant toutes les licences|En rendant le logiciel libre dès sa création
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi le logiciel peut-il être un actif stratégique pour une entreprise ?;Parce qu'il peut représenter une valeur économique importante;Parce qu'il est toujours brevetable;Parce qu'il appartient toujours au client;Parce qu'il est toujours gratuit;-;Un logiciel peut constituer un actif immatériel de grande valeur. Sa protection permet de l'intégrer à la stratégie économique de l'entreprise.;1;facile;actif-immateriel|entreprise;2.1 - Pourquoi protéger le logiciel ?;Un logiciel peut être stratégique car il peut représenter {{une valeur économique importante}}.;valeur économique importante|une valeur économique importante;une valeur économique importante;une valeur économique importante|Parce qu'il est toujours brevetable|Parce qu'il appartient toujours au client|Parce qu'il est toujours gratuit
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quels risques la protection du logiciel cherche-t-elle à prévenir ?;La contrefaçon et le parasitisme;La faillite automatique du créateur;L'obsolescence technique;La perte de tout droit moral;-;Les droits exclusifs empêchent la reproduction ou l'utilisation non autorisée du logiciel. Ils servent donc à prévenir la contrefaçon et le parasitisme.;1;facile;contrefacon|parasitisme;2.1 - Pourquoi protéger le logiciel ?;La protection vise à prévenir {{la contrefaçon et le parasitisme}}.;contrefaçon et parasitisme|la contrefaçon et le parasitisme;la contrefaçon et le parasitisme;la contrefaçon et le parasitisme|La faillite automatique du créateur|L'obsolescence technique|La perte de tout droit moral
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Comment le créateur peut-il monétiser son logiciel selon le document ?;Par des licences ou des redevances;Uniquement par un brevet international;Uniquement par la vente du code source;Par une taxe publique automatique;-;La protection permet au créateur d'assurer une juste rémunération. Le document cite les licences et les redevances comme modes de monétisation.;1;facile;licence|redevance|remuneration;2.1 - Pourquoi protéger le logiciel ?;Le créateur peut monétiser son logiciel par {{des licences ou des redevances}}.;licences ou redevances|des licences ou des redevances;des licences ou des redevances;des licences ou des redevances|Uniquement par un brevet international|Uniquement par la vente du code source|Par une taxe publique automatique
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelle directive européenne fonde principalement la protection des logiciels par le droit d'auteur ?;La directive 2009/24/CE du 23 avril 2009;La directive 96/9/CE;La Convention de Paris;Le RGPD;-;Le document indique que la protection européenne des logiciels par droit d'auteur repose principalement sur la directive 2009/24/CE. Elle concerne la protection juridique des programmes d'ordinateur.;1;facile;directive|droit-auteur;2.2 - Droit d'auteur - Bases légales et nature;La protection européenne du logiciel repose principalement sur {{la directive 2009/24/CE du 23 avril 2009}}.;directive 2009/24/CE|2009/24/CE;la directive 2009/24/CE du 23 avril 2009;la directive 2009/24/CE du 23 avril 2009|La directive 96/9/CE|La Convention de Paris|Le RGPD
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quels articles du CDE belge visent la protection des logiciels par le droit d'auteur ?;Les articles XI.293 à XI.304 CDE;Les articles XI.6 à XI.8 CDE;Les articles 52 à 57 CBE;L'article 6bis de Berne;-;En Belgique, les dispositions relatives à la protection des logiciels par droit d'auteur figurent aux articles XI.293 à XI.304 du Code de droit économique.;1;facile;cde|belgique;2.2 - Droit d'auteur - Bases légales et nature;En Belgique, les logiciels sont protégés aux articles {{XI.293 à XI.304 CDE}}.;XI.293 à XI.304 CDE|articles XI.293 à XI.304;XI.293 à XI.304 CDE;XI.293 à XI.304 CDE|Les articles XI.6 à XI.8 CDE|Les articles 52 à 57 CBE|L'article 6bis de Berne
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);À quel type d'oeuvre le logiciel est-il assimilé ?;Une oeuvre littéraire;Une invention industrielle;Une marque commerciale;Une topographie de semi-conducteur;-;Le code source est assimilé à un texte écrit. Le logiciel est donc rattaché à l'oeuvre littéraire au sens large.;1;facile;oeuvre-litteraire|logiciel;2.2 - Droit d'auteur - Bases légales et nature;Le logiciel est assimilé à {{une oeuvre littéraire}}.;oeuvre littéraire|une oeuvre littéraire;une oeuvre littéraire;une oeuvre littéraire|Une invention industrielle|Une marque commerciale|Une topographie de semi-conducteur
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelle convention est à l'origine de cette approche par le droit d'auteur ?;La Convention de Berne de 1886;La Convention sur le brevet européen;La directive 96/9/CE;Le Traité de Rome;-;Le document indique que la protection des logiciels par droit d'auteur trouve son origine dans la Convention de Berne de 1886. Cette approche repose sur l'assimilation du code à un texte écrit.;1;facile;berne|histoire;2.2 - Droit d'auteur - Bases légales et nature;Cette approche trouve son origine dans {{la Convention de Berne de 1886}}.;Convention de Berne|Convention de Berne de 1886;la Convention de Berne de 1886;la Convention de Berne de 1886|La Convention sur le brevet européen|La directive 96/9/CE|Le Traité de Rome
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi le code source peut-il être rapproché d'un livre ou d'une partition ?;Parce qu'il est un texte écrit composé d'instructions;Parce qu'il est toujours imprimé;Parce qu'il est toujours breveté;Parce qu'il est toujours musical;Revois le cadre juridique général de cette protection.;Le code source est un ensemble d'instructions rédigées dans un langage informatique. Cette forme écrite explique son assimilation à une oeuvre littéraire.;2;moyen;code-source|instructions;2.2 - Droit d'auteur - Bases légales et nature;Le code source est rapproché d'un livre car il est {{un texte écrit composé d'instructions}}.;texte écrit composé d'instructions|instructions écrites;un texte écrit composé d'instructions;un texte écrit composé d'instructions|Parce qu'il est toujours imprimé|Parce qu'il est toujours breveté|Parce qu'il est toujours musical
